Hour,Occupancy,Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
0,1,1,0,0,0,0
1,1,1,0,0,0,0
2,1,1,0,0,0,0
3,1,1,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,16,1,0,0,0,0
7,25,1,0,0,0,0
8,91,1,0,0,0,0
9,92,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,95,1,0,0,0,0
17,91,1,0,0,0,0
18,81,1,0,0,0,0
19,63,1,0,0,0,0
20,25,1,0,0,0,0
21,12,1,0,0,0,0
22,1,1,0,0,0,0
23,1,1,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
2,1,1,0,0,0,0
3,1,1,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,16,1,0,0,0,0
7,25,1,0,0,0,0
8,81,1,0,0,0,0
9,83,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,97,1,0,0,0,0
16,94,1,0,0,0,0
17,91,1,0,0,0,0
18,76,1,0,0,0,0
19,63,1,0,0,0,0
20,44,1,0,0,0,0
21,14,1,0,0,0,0
22,3,1,0,0,0,0
23,3,1,0,0,0,0
0,3,1,0,0,0,0
1,3,1,0,0,0,0
2,3,1,0,0,0,0
3,3,1,0,0,0,0
4,3,1,0,0,0,0
5,3,1,0,0,0,0
6,25,1,0,0,0,0
7,44,1,0,0,0,0
8,72,1,0,0,0,0
9,91,1,0,0,0,0
10,93,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,96,1,0,0,0,0
17,91,1,0,0,0,0
18,72,1,0,0,0,0
19,44,1,0,0,0,0
20,31,1,0,0,0,0
21,16,1,0,0,0,0
22,2,1,0,0,0,0
23,2,1,0,0,0,0
0,2,0,1,0,0,0
1,2,0,1,0,0,0
2,2,0,1,0,0,0
3,2,0,1,0,0,0
