Hour,Normalised,Working_Day
0,7,1
1,7,1
2,7,1
3,7,1
4,7,1
5,6,1
6,19,1
7,66,1
8,87,1
9,91,1
10,96,1
11,96,1
12,99,1
13,99,1
14,100,1
15,96,1
16,91,1
17,66,1
18,57,1
19,13,1
20,11,1
21,7,1
22,7,1
23,7,1
0,7,1
1,7,1
2,7,1
3,7,1
4,7,1
5,23,1
6,32,1
7,83,1
8,91,1
9,96,1
10,100,1
11,100,1
12,100,1
13,100,1
14,99,1
15,98,1
16,96,1
17,74,1
18,57,1
19,13,1
20,6,1
21,6,1
22,6,1
23,6,1
0,6,1
1,6,1
2,6,1
3,6,1
4,6,1
5,11,1
6,36,1
7,87,1
8,94,1
9,95,1
10,100,1
11,100,1
12,100,1
13,100,1
14,99,1
15,98,1
16,96,1
17,74,1
18,57,1
19,13,1
20,6,1
21,6,1
22,6,1
23,6,1
0,6,1
1,6,1
2,6,1
3,6,1
4,6,1
5,6,1
6,15,1
7,19,1
8,86,1
9,91,1
10,96,1
11,100,1
12,100,1
13,100,1
14,100,1
15,99,1
16,98,1
17,79,1
18,53,1
19,36,1
20,19,1
21,10,1
22,10,1
23,10,1
0,10,1
1,10,1
2,10,1
3,10,1
4,10,1
5,10,1
6,18,1
7,58,1
8,90,1
9,91,1
10,91,1
11,100,1
12,100,1
13,100,1
14,100,1
15,100,1
16,91,1
17,57,1
18,51,1
19,54,1
20,53,1
21,45,1
22,12,1
23,12,1
0,12,1
1,12,1
2,12,1
3,12,1
4,12,1
5,12,1
6,17,1
7,28,1
8,94,1
9,94,1
10,100,1
11,100,1
12,100,1
13,100,1
14,100,1
15,93,1
16,83,1
17,53,1
18,40,1
19,23,1
20,12,1
21,9,1
22,9,1
23,9,1
0,9,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,17,1
7,28,1
8,94,1
9,94,1
10,100,1
11,100,1
12,100,1
13,100,1
14,93,1
15,83,1
16,53,1
17,40,1
18,23,1
19,12,1
20,9,1
21,9,1
22,9,1
23,9,1
0,9,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,11,1
7,17,1
8,74,1
9,91,1
10,100,1
11,97,1
12,97,1
13,98,1
14,99,1
15,97,1
16,97,1
17,91,1
18,54,1
19,40,1
20,9,1
21,9,1
22,9,1
23,9,1
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,13,1
7,17,1
8,81,1
9,91,1
10,100,1
11,100,1
12,100,1
13,98,1
14,100,1
15,100,1
16,98,1
17,87,1
18,53,1
19,16,1
20,11,1
21,8,1
22,8,1
23,8,1
0,8,1
1,8,1
2,8,1
3,8,1
4,8,1
5,8,1
6,15,1
7,75,1
8,87,1
9,96,1
10,100,1
11,100,1
12,100,1
13,100,1
14,98,1
15,97,1
16,96,1
17,45,1
18,15,1
19,11,1
20,11,1
21,11,1
22,11,1
23,11,1
0,11,1
1,11,1
2,11,1
3,11,1
4,11,1
5,11,1
6,32,1
7,66,1
8,87,1
9,94,1
10,96,1
11,100,1
12,100,1
13,100,1
14,99,1
15,96,1
16,87,1
17,66,1
18,13,1
19,6,1
20,5,1
21,5,1
22,5,1
23,5,1
0,5,1
1,5,1
2,5,1
3,5,1
4,5,1
5,5,1
6,5,1
7,19,1
8,49,1
9,87,1
10,92,1
11,98,1
12,99,1
13,100,1
14,100,1
15,98,1
16,94,1
17,66,1
18,52,1
19,12,1
20,7,1
21,7,1
22,7,1
23,7,1
0,7,1
1,7,1
2,7,1
3,7,1
4,7,1
5,7,1
6,28,1
7,49,1
8,86,1
9,91,1
10,100,1
11,100,1
12,100,1
13,100,1
14,99,1
15,98,1
16,95,1
17,66,1
18,11,1
