Instant,Date,Hour,Month,Day,Holiday,Weekday,WorkingDay,Total Parking Spaces,No of parking spaces left,Free Spaces  %,Occupancy
1,1-Feb-17,0,2,Wednesday,0,3,1,235,219,93,7
2,1-Feb-17,1,2,Wednesday,0,3,1,235,219,93,7
3,1-Feb-17,2,2,Wednesday,0,3,1,235,219,93,7
4,1-Feb-17,3,2,Wednesday,0,3,1,235,219,93,7
5,1-Feb-17,4,2,Wednesday,0,3,1,235,219,93,7
6,1-Feb-17,5,2,Wednesday,0,3,1,235,220,94,6
7,1-Feb-17,6,2,Wednesday,0,3,1,235,190,81,19
8,1-Feb-17,7,2,Wednesday,0,3,1,235,80,34,66
9,1-Feb-17,8,2,Wednesday,0,3,1,235,30,13,87
10,1-Feb-17,9,2,Wednesday,0,3,1,235,20,9,91
11,1-Feb-17,10,2,Wednesday,0,3,1,235,10,4,96
12,1-Feb-17,11,2,Wednesday,0,3,1,235,9,4,96
13,1-Feb-17,12,2,Wednesday,0,3,1,235,3,1,99
14,1-Feb-17,13,2,Wednesday,0,3,1,235,2,1,99
15,1-Feb-17,14,2,Wednesday,0,3,1,235,0,0,100
16,1-Feb-17,15,2,Wednesday,0,3,1,235,10,4,96
17,1-Feb-17,16,2,Wednesday,0,3,1,235,20,9,91
18,1-Feb-17,17,2,Wednesday,0,3,1,235,80,34,66
19,1-Feb-17,18,2,Wednesday,0,3,1,235,100,43,57
20,1-Feb-17,19,2,Wednesday,0,3,1,235,205,87,13
21,1-Feb-17,20,2,Wednesday,0,3,1,235,210,89,11
22,1-Feb-17,21,2,Wednesday,0,3,1,235,219,93,7
23,1-Feb-17,22,2,Wednesday,0,3,1,235,219,93,7
24,1-Feb-17,23,2,Wednesday,0,3,1,235,219,93,7
25,2-Feb-17,0,2,Thursday,0,4,1,235,219,93,7
26,2-Feb-17,1,2,Thursday,0,4,1,235,219,93,7
27,2-Feb-17,2,2,Thursday,0,4,1,235,219,93,7
28,2-Feb-17,3,2,Thursday,0,4,1,235,219,93,7
29,2-Feb-17,4,2,Thursday,0,4,1,235,219,93,7
30,2-Feb-17,5,2,Thursday,0,4,1,235,180,77,23
31,2-Feb-17,6,2,Thursday,0,4,1,235,160,68,32
32,2-Feb-17,7,2,Thursday,0,4,1,235,40,17,83
33,2-Feb-17,8,2,Thursday,0,4,1,235,20,9,91
34,2-Feb-17,9,2,Thursday,0,4,1,235,10,4,96
35,2-Feb-17,10,2,Thursday,0,4,1,235,0,0,100
36,2-Feb-17,11,2,Thursday,0,4,1,235,0,0,100
37,2-Feb-17,12,2,Thursday,0,4,1,235,0,0,100
38,2-Feb-17,13,2,Thursday,0,4,1,235,0,0,100
39,2-Feb-17,14,2,Thursday,0,4,1,235,3,1,99
40,2-Feb-17,15,2,Thursday,0,4,1,235,5,2,98
41,2-Feb-17,16,2,Thursday,0,4,1,235,10,4,96
42,2-Feb-17,17,2,Thursday,0,4,1,235,60,26,74
43,2-Feb-17,18,2,Thursday,0,4,1,235,100,43,57
44,2-Feb-17,19,2,Thursday,0,4,1,235,205,87,13
45,2-Feb-17,20,2,Thursday,0,4,1,235,221,94,6
46,2-Feb-17,21,2,Thursday,0,4,1,235,221,94,6
47,2-Feb-17,22,2,Thursday,0,4,1,235,221,94,6
48,2-Feb-17,23,2,Thursday,0,4,1,235,221,94,6
49,3-Feb-17,0,2,Friday,0,5,1,235,221,94,6
50,3-Feb-17,1,2,Friday,0,5,1,235,221,94,6
51,3-Feb-17,2,2,Friday,0,5,1,235,221,94,6
52,3-Feb-17,3,2,Friday,0,5,1,235,221,94,6
53,3-Feb-17,4,2,Friday,0,5,1,235,221,94,6
54,3-Feb-17,5,2,Friday,0,5,1,235,210,89,11
55,3-Feb-17,6,2,Friday,0,5,1,235,150,64,36
56,3-Feb-17,7,2,Friday,0,5,1,235,30,13,87
57,3-Feb-17,8,2,Friday,0,5,1,235,15,6,94
58,3-Feb-17,9,2,Friday,0,5,1,235,12,5,95
59,3-Feb-17,10,2,Friday,0,5,1,235,0,0,100
60,3-Feb-17,11,2,Friday,0,5,1,235,0,0,100
61,3-Feb-17,12,2,Friday,0,5,1,235,0,0,100
