Instant,Date,Hour,Month,Day,Holiday,Weekday,WorkingDay,Total Parking Spaces,No of parking spaces left,Free Spaces  %,Occupancy
1,1-Feb-17,0,2,Wednesday,0,3,1,100,98,98,2
2,1-Feb-17,1,2,Wednesday,0,3,1,100,98,98,2
3,1-Feb-17,2,2,Wednesday,0,3,1,100,98,98,2
4,1-Feb-17,3,2,Wednesday,0,3,1,100,98,98,2
5,1-Feb-17,4,2,Wednesday,0,3,1,100,98,98,2
6,1-Feb-17,5,2,Wednesday,0,3,1,100,98,98,2
7,1-Feb-17,6,2,Wednesday,0,3,1,100,80,80,20
8,1-Feb-17,7,2,Wednesday,0,3,1,100,60,60,40
9,1-Feb-17,8,2,Wednesday,0,3,1,100,12,12,88
10,1-Feb-17,9,2,Wednesday,0,3,1,100,10,10,90
11,1-Feb-17,10,2,Wednesday,0,3,1,100,0,0,100
12,1-Feb-17,11,2,Wednesday,0,3,1,100,0,0,100
13,1-Feb-17,12,2,Wednesday,0,3,1,100,0,0,100
14,1-Feb-17,13,2,Wednesday,0,3,1,100,0,0,100
15,1-Feb-17,14,2,Wednesday,0,3,1,100,0,0,100
16,1-Feb-17,15,2,Wednesday,0,3,1,100,3,3,97
17,1-Feb-17,16,2,Wednesday,0,3,1,100,5,5,95
18,1-Feb-17,17,2,Wednesday,0,3,1,100,6,6,94
19,1-Feb-17,18,2,Wednesday,0,3,1,100,14,14,86
20,1-Feb-17,19,2,Wednesday,0,3,1,100,28,28,72
21,1-Feb-17,20,2,Wednesday,0,3,1,100,30,30,70
22,1-Feb-17,21,2,Wednesday,0,3,1,100,37,37,63
23,1-Feb-17,22,2,Wednesday,0,3,1,100,80,80,20
24,1-Feb-17,23,2,Wednesday,0,3,1,100,95,95,5
25,2-Feb-17,0,2,Thursday,0,4,1,100,95,95,5
26,2-Feb-17,1,2,Thursday,0,4,1,100,95,95,5
27,2-Feb-17,2,2,Thursday,0,4,1,100,95,95,5
28,2-Feb-17,3,2,Thursday,0,4,1,100,95,95,5
29,2-Feb-17,4,2,Thursday,0,4,1,100,95,95,5
30,2-Feb-17,5,2,Thursday,0,4,1,100,95,95,5
31,2-Feb-17,6,2,Thursday,0,4,1,100,70,70,30
32,2-Feb-17,7,2,Thursday,0,4,1,100,60,60,40
33,2-Feb-17,8,2,Thursday,0,4,1,100,20,20,80
34,2-Feb-17,9,2,Thursday,0,4,1,100,10,10,90
35,2-Feb-17,10,2,Thursday,0,4,1,100,0,0,100
36,2-Feb-17,11,2,Thursday,0,4,1,100,0,0,100
37,2-Feb-17,12,2,Thursday,0,4,1,100,0,0,100
38,2-Feb-17,13,2,Thursday,0,4,1,100,0,0,100
39,2-Feb-17,14,2,Thursday,0,4,1,100,0,0,100
40,2-Feb-17,15,2,Thursday,0,4,1,100,0,0,100
41,2-Feb-17,16,2,Thursday,0,4,1,100,2,2,98
42,2-Feb-17,17,2,Thursday,0,4,1,100,3,3,97
43,2-Feb-17,18,2,Thursday,0,4,1,100,8,8,92
44,2-Feb-17,19,2,Thursday,0,4,1,100,10,10,90
45,2-Feb-17,20,2,Thursday,0,4,1,100,12,12,88
46,2-Feb-17,21,2,Thursday,0,4,1,100,30,30,70
47,2-Feb-17,22,2,Thursday,0,4,1,100,80,80,20
48,2-Feb-17,23,2,Thursday,0,4,1,100,92,92,8
49,3-Feb-17,0,2,Friday,0,5,1,100,97,97,3
50,3-Feb-17,1,2,Friday,0,5,1,100,97,97,3
51,3-Feb-17,2,2,Friday,0,5,1,100,97,97,3
52,3-Feb-17,3,2,Friday,0,5,1,100,97,97,3
53,3-Feb-17,4,2,Friday,0,5,1,100,97,97,3
54,3-Feb-17,5,2,Friday,0,5,1,100,97,97,3
55,3-Feb-17,6,2,Friday,0,5,1,100,78,78,22
56,3-Feb-17,7,2,Friday,0,5,1,100,64,64,36
57,3-Feb-17,8,2,Friday,0,5,1,100,11,11,89
58,3-Feb-17,9,2,Friday,0,5,1,100,9,9,91
59,3-Feb-17,10,2,Friday,0,5,1,100,0,0,100
60,3-Feb-17,11,2,Friday,0,5,1,100,0,0,100
61,3-Feb-17,12,2,Friday,0,5,1,100,0,0,100
62,3-Feb-17,13,2,Friday,0,5,1,100,0,0,100
63,3-Feb-17,14,2,Friday,0,5,1,100,0,0,100
64,3-Feb-17,15,2,Friday,0,5,1,100,4,4,96
65,3-Feb-17,16,2,Friday,0,5,1,100,6,6,94
66,3-Feb-17,17,2,Friday,0,5,1,100,8,8,92
67,3-Feb-17,18,2,Friday,0,5,1,100,14,14,86
68,3-Feb-17,19,2,Friday,0,5,1,100,28,28,72
69,3-Feb-17,20,2,Friday,0,5,1,100,30,30,70
70,3-Feb-17,21,2,Friday,0,5,1,100,37,37,63
71,3-Feb-17,22,2,Friday,0,5,1,100,80,80,20
72,3-Feb-17,23,2,Friday,0,5,1,100,95,95,5
73,4-Feb-17,0,2,Saturday,1,6,0,100,95,95,5
74,4-Feb-17,1,2,Saturday,1,6,0,100,95,95,5
75,4-Feb-17,2,2,Saturday,1,6,0,100,95,95,5
76,4-Feb-17,3,2,Saturday,1,6,0,100,95,95,5
77,4-Feb-17,4,2,Saturday,1,6,0,100,95,95,5
78,4-Feb-17,5,2,Saturday,1,6,0,100,95,95,5
79,4-Feb-17,6,2,Saturday,1,6,0,100,80,80,20
80,4-Feb-17,7,2,Saturday,1,6,0,100,70,70,30
81,4-Feb-17,8,2,Saturday,1,6,0,100,60,60,40
82,4-Feb-17,9,2,Saturday,1,6,0,100,50,50,50
83,4-Feb-17,10,2,Saturday,1,6,0,100,40,40,60
84,4-Feb-17,11,2,Saturday,1,6,0,100,30,30,70
85,4-Feb-17,12,2,Saturday,1,6,0,100,20,20,80
86,4-Feb-17,13,2,Saturday,1,6,0,100,20,20,80
87,4-Feb-17,14,2,Saturday,1,6,0,100,20,20,80
88,4-Feb-17,15,2,Saturday,1,6,0,100,20,20,80
89,4-Feb-17,16,2,Saturday,1,6,0,100,20,20,80
90,4-Feb-17,17,2,Saturday,1,6,0,100,38,38,62
