Hour,Spaces_Left,Free Spaces  %,Occupancy,Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
0,219,93,7,1,0,0,0,0
1,219,93,7,1,0,0,0,0
2,219,93,7,1,0,0,0,0
3,219,93,7,1,0,0,0,0
4,219,93,7,1,0,0,0,0
5,220,94,6,1,0,0,0,0
6,190,81,19,1,0,0,0,0
7,80,34,66,1,0,0,0,0
8,30,13,87,1,0,0,0,0
9,20,9,91,1,0,0,0,0
10,10,4,96,1,0,0,0,0
11,9,4,96,1,0,0,0,0
12,3,1,99,1,0,0,0,0
13,2,1,99,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,10,4,96,1,0,0,0,0
16,20,9,91,1,0,0,0,0
17,80,34,66,1,0,0,0,0
18,100,43,57,1,0,0,0,0
19,205,87,13,1,0,0,0,0
20,210,89,11,1,0,0,0,0
21,219,93,7,1,0,0,0,0
22,219,93,7,1,0,0,0,0
23,219,93,7,1,0,0,0,0
0,219,93,7,1,0,0,0,0
1,219,93,7,1,0,0,0,0
2,219,93,7,1,0,0,0,0
3,219,93,7,1,0,0,0,0
4,219,93,7,1,0,0,0,0
5,180,77,23,1,0,0,0,0
6,160,68,32,1,0,0,0,0
7,40,17,83,1,0,0,0,0
8,20,9,91,1,0,0,0,0
9,10,4,96,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,3,1,99,1,0,0,0,0
15,5,2,98,1,0,0,0,0
16,10,4,96,1,0,0,0,0
17,60,26,74,1,0,0,0,0
18,100,43,57,1,0,0,0,0
19,205,87,13,1,0,0,0,0
20,221,94,6,1,0,0,0,0
21,221,94,6,1,0,0,0,0
22,221,94,6,1,0,0,0,0
23,221,94,6,1,0,0,0,0
0,221,94,6,1,0,0,0,0
1,221,94,6,1,0,0,0,0
2,221,94,6,1,0,0,0,0
3,221,94,6,1,0,0,0,0
4,221,94,6,1,0,0,0,0
5,210,89,11,1,0,0,0,0
6,150,64,36,1,0,0,0,0
7,30,13,87,1,0,0,0,0
8,15,6,94,1,0,0,0,0
9,12,5,95,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,3,1,99,1,0,0,0,0
15,5,2,98,1,0,0,0,0
16,10,4,96,1,0,0,0,0
17,60,26,74,1,0,0,0,0
18,100,43,57,1,0,0,0,0
19,205,87,13,1,0,0,0,0
20,221,94,6,1,0,0,0,0
21,221,94,6,1,0,0,0,0
22,221,94,6,1,0,0,0,0
23,221,94,6,1,0,0,0,0
0,222,94,6,0,1,0,0,0
1,222,94,6,0,1,0,0,0
2,222,94,6,0,1,0,0,0
3,222,94,6,0,1,0,0,0
4,222,94,6,0,1,0,0,0
5,222,94,6,0,1,0,0,0
6,200,85,15,0,1,0,0,0
7,68,29,71,0,1,0,0,0
8,50,21,79,0,1,0,0,0
9,45,19,81,0,1,0,0,0
10,43,18,82,0,1,0,0,0
11,44,19,81,0,1,0,0,0
12,30,13,87,0,1,0,0,0
13,30,13,87,0,1,0,0,0
14,30,13,87,0,1,0,0,0
15,30,13,87,0,1,0,0,0
16,35,15,85,0,1,0,0,0
17,102,43,57,0,1,0,0,0
18,135,57,43,0,1,0,0,0
19,205,87,13,0,1,0,0,0
20,223,95,5,0,1,0,0,0
21,223,95,5,0,1,0,0,0
22,223,95,5,0,1,0,0,0
23,223,95,5,0,1,0,0,0
0,223,95,5,0,1,0,0,0
1,223,95,5,0,1,0,0,0
2,223,95,5,0,1,0,0,0
3,223,95,5,0,1,0,0,0
4,223,95,5,0,1,0,0,0
5,223,95,5,0,1,0,0,0
6,210,89,11,0,1,0,0,0
7,180,77,23,0,1,0,0,0
8,90,38,62,0,1,0,0,0
9,60,26,74,0,1,0,0,0
10,58,25,75,0,1,0,0,0
11,55,23,77,0,1,0,0,0
12,53,23,77,0,1,0,0,0
13,52,22,78,0,1,0,0,0
14,52,22,78,0,1,0,0,0
15,52,22,78,0,1,0,0,0
16,101,43,57,0,1,0,0,0
17,104,44,56,0,1,0,0,0
18,180,77,23,0,1,0,0,0
19,210,89,11,0,1,0,0,0
20,215,91,9,0,1,0,0,0
21,220,94,6,0,1,0,0,0
22,220,94,6,0,1,0,0,0
23,220,94,6,0,1,0,0,0
0,220,94,6,1,0,0,0,0
1,220,94,6,1,0,0,0,0
2,220,94,6,1,0,0,0,0
3,220,94,6,1,0,0,0,0
4,220,94,6,1,0,0,0,0
5,220,94,6,1,0,0,0,0
6,200,85,15,1,0,0,0,0
7,190,81,19,1,0,0,0,0
8,32,14,86,1,0,0,0,0
9,20,9,91,1,0,0,0,0
10,10,4,96,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,3,1,99,1,0,0,0,0
16,4,2,98,1,0,0,0,0
17,50,21,79,1,0,0,0,0
18,110,47,53,1,0,0,0,0
19,150,64,36,1,0,0,0,0
20,190,81,19,1,0,0,0,0
21,212,90,10,1,0,0,0,0
22,212,90,10,1,0,0,0,0
23,212,90,10,1,0,0,0,0
0,212,90,10,1,0,0,0,0
1,212,90,10,1,0,0,0,0
2,212,90,10,1,0,0,0,0
