Holiday,Hour,Avg. Normalised
Examination Week,0,1.833333333
Examination Week,1,1.833333333
Examination Week,2,1.833333333
Examination Week,3,1.833333333
Examination Week,4,1.833333333
Examination Week,5,4.916666667
Examination Week,6,20.25
Examination Week,7,43.25
Examination Week,8,70.416666667
Examination Week,9,82.166666667
Examination Week,10,89.666666667
Examination Week,11,90.25
Examination Week,12,90.25
Examination Week,13,89.083333333
Examination Week,14,88.333333333
Examination Week,15,86.75
Examination Week,16,83.166666667
Examination Week,17,71.5
Examination Week,18,56.416666667
Examination Week,19,33.333333333
Examination Week,20,19
Examination Week,21,5.75
Examination Week,22,1.75
Examination Week,23,1.75
Exam Studying Week,0,1.923076923
Exam Studying Week,1,1.923076923
Exam Studying Week,2,1.923076923
Exam Studying Week,3,1.923076923
Exam Studying Week,4,3.076923077
Exam Studying Week,5,8.461538462
Exam Studying Week,6,26.769230769
Exam Studying Week,7,44.538461538
Exam Studying Week,8,63
Exam Studying Week,9,73.153846154
Exam Studying Week,10,78.846153846
Exam Studying Week,11,79
Exam Studying Week,12,79.538461538
Exam Studying Week,13,78.615384615
Exam Studying Week,14,77.384615385
Exam Studying Week,15,75
Exam Studying Week,16,70.461538462
Exam Studying Week,17,59.538461538
Exam Studying Week,18,41.692307692
Exam Studying Week,19,22.153846154
Exam Studying Week,20,11.615384615
Exam Studying Week,21,4.076923077
Exam Studying Week,22,2.846153846
Exam Studying Week,23,1.769230769
Reading Week,0,1.8
Reading Week,1,1.8
Reading Week,2,1.8
Reading Week,3,1.8
Reading Week,4,1.8
Reading Week,5,4.8
Reading Week,6,19.8
Reading Week,7,51.6
Reading Week,8,71.6
Reading Week,9,85.4
Reading Week,10,88.8
Reading Week,11,88.8
Reading Week,12,88.8
Reading Week,13,88.8
Reading Week,14,88.2
Reading Week,15,85.6
Reading Week,16,80.6
Reading Week,17,69.2
Reading Week,18,52
Reading Week,19,30.2
Reading Week,20,13
Reading Week,21,4.6
Reading Week,22,1.6
Reading Week,23,1.6
Holiday,0,1.433333333
Holiday,1,1.451612903
Holiday,2,1.451612903
Holiday,3,1.451612903
Holiday,4,1.451612903
Holiday,5,2.161290323
Holiday,6,8.709677419
Holiday,7,17.419354839
Holiday,8,31.193548387
Holiday,9,39.225806452
Holiday,10,42.258064516
Holiday,11,42.516129032
Holiday,12,42.354838710
Holiday,13,39.161290323
Holiday,14,34.870967742
Holiday,15,32.387096774
Holiday,16,27.354838710
Holiday,17,21.967741935
Holiday,18,16.838709677
Holiday,19,6.032258065
Holiday,20,3.451612903
Holiday,21,2.483870968
Holiday,22,2.096774194
Holiday,23,1.774193548
Working Day,0,1.785714286
Working Day,1,1.807017544
Working Day,2,1.807017544
Working Day,3,1.807017544
Working Day,4,1.807017544
Working Day,5,2.228070175
Working Day,6,19.175438596
Working Day,7,35.263157895
Working Day,8,73.964912281
Working Day,9,85.087719298
Working Day,10,96.877192982
Working Day,11,98.245614035
Working Day,12,98.298245614
Working Day,13,98.157894737
Working Day,14,97.403508772
Working Day,15,95.140350877
Working Day,16,90.824561404
Working Day,17,81.912280702
Working Day,18,63.666666667
Working Day,19,44.543859649
Working Day,20,30.754385965
Working Day,21,12.578947368
Working Day,22,3.526315789
Working Day,23,1.596491228
